weighting,portfolio,model,start_month,end_month,nobs,alpha_monthly,alpha_hac_se,alpha_hac_t,alpha_hac_pvalue,beta_mkt,beta_smb,beta_hml,adjusted_r_squared
equal_weighted,ME3 BM4,capm,196307,202606,756,0.0027209161,0.0011936058,2.2795766972,0.0226328063,1.0251550993,,,0.7341847156
equal_weighted,ME3 BM4,ff3,196307,202606,756,0.0000633251,0.0006075727,0.1042264536,0.9169896414,1.0221558623,0.4819721042,0.6561834479,0.9137816986
equal_weighted,ME3 BM5,capm,196307,202606,756,0.0036334224,0.0016049193,2.2639283706,0.0235785207,1.1412566432,,,0.6639143295
equal_weighted,ME3 BM5,ff3,196307,202606,756,0.0000123227,0.0007460915,0.0165163863,0.9868224295,1.1482773546,0.6031708943,0.8984285207,0.8961968563
equal_weighted,ME4 BM1,capm,196307,202606,756,-0.0012101126,0.0009827478,-1.2313562904,0.2181896372,1.2258974350,,,0.8472917836
equal_weighted,ME4 BM1,ff3,196307,202606,756,-0.0001380447,0.0006996394,-0.1973082983,0.8435862859,1.1072149651,0.3834841404,-0.3116137673,0.9095930450
equal_weighted,ME4 BM2,capm,196307,202606,756,0.0000769580,0.0008951138,0.0859756700,0.9314857581,1.0994706619,,,0.8586840146
equal_weighted,ME4 BM2,ff3,196307,202606,756,-0.0008970617,0.0007045338,-1.2732699988,0.2029222489,1.0876892113,0.2281360016,0.2363147135,0.8879647920
equal_weighted,ME4 BM3,capm,196307,202606,756,0.0012767384,0.0010170691,1.2553113262,0.2093657651,1.0373449533,,,0.8099864419
equal_weighted,ME4 BM3,ff3,196307,202606,756,-0.0005132098,0.0006574634,-0.7805906909,0.4350432687,1.0627246245,0.1925457392,0.4526752556,0.8820736591
equal_weighted,ME4 BM4,capm,196307,202606,756,0.0027294599,0.0010930052,2.4972067395,0.0125175954,1.0178756772,,,0.7542633458
equal_weighted,ME4 BM4,ff3,196307,202606,756,0.0003719393,0.0006594535,0.5640114311,0.5727463526,1.0539038647,0.2410627962,0.5972311355,0.8742690867
equal_weighted,ME4 BM5,capm,196307,202606,756,0.0023044078,0.0015511499,1.4856125367,0.1373816371,1.1296355655,,,0.6652679157
equal_weighted,ME4 BM5,ff3,196307,202606,756,-0.0012076122,0.0008744413,-1.3810100682,0.1672758650,1.1853440360,0.3492948488,0.8904976864,0.8552813867
equal_weighted,BIG LoBM,capm,196307,202606,756,-0.0010314868,0.0005902111,-1.7476575118,0.0805233502,1.0942701572,,,0.9110899075
equal_weighted,BIG LoBM,ff3,196307,202606,756,0.0000847928,0.0004443389,0.1908291018,0.8486594877,1.0695637438,-0.0772813588,-0.2857794492,0.9379599704
equal_weighted,ME5 BM2,capm,196307,202606,756,0.0004065544,0.0006883817,0.5905944877,0.5547921591,0.9822569014,,,0.8818670218
equal_weighted,ME5 BM2,ff3,196307,202606,756,-0.0002267140,0.0006054885,-0.3744314931,0.7080833161,1.0177449865,-0.0596587957,0.1705248357,0.8948493927
equal_weighted,ME5 BM3,capm,196307,202606,756,0.0010330536,0.0008398472,1.2300493735,0.2186786165,0.9340454639,,,0.8233592788
equal_weighted,ME5 BM3,ff3,196307,202606,756,-0.0003738936,0.0006339502,-0.5897838440,0.5553355754,1.0060005374,-0.0993355977,0.3761632906,0.8859537311
equal_weighted,ME5 BM4,capm,196307,202606,756,0.0008791315,0.0011758083,0.7476826895,0.4546515749,0.9192141285,,,0.7166264595
equal_weighted,ME5 BM4,ff3,196307,202606,756,-0.0015915483,0.0006741185,-2.3609326179,0.0182290425,1.0250375826,-0.0754610992,0.6525300132,0.8741731499
equal_weighted,BIG HiBM,capm,196307,202606,756,0.0021328834,0.0013961768,1.5276599115,0.1265969983,1.0131567989,,,0.6473072586
equal_weighted,BIG HiBM,ff3,196307,202606,756,-0.0008818995,0.0009385238,-0.9396666859,0.3473885584,1.1302979067,-0.0342980930,0.7915425636,0.8156907184
